Category,City,Country,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Number of Records,Profit,Profit Ratio,Quantity,Sales
Office Supplies,San Diego,United States,Deborah Brumfield,Message Book,05-02-2011,CA-2011-107181,92024,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",West,Home Office,09-02-2011,Standard Class,California,Paper,0%,1,$16 ,47%,4,$34 
Office Supplies,Chesapeake,United States,Neil Ducich,Avery,07-02-2011,CA-2011-131905,23320,Avery 480,South,Corporate,10-02-2011,First Class,Virginia,Labels,0%,1,$7 ,48%,4,$15 
Technology,Chesapeake,United States,Neil Ducich,Other,07-02-2011,CA-2011-131905,23320,Aastra 57i VoIP phone,South,Corporate,10-02-2011,First Class,Virginia,Phones,0%,1,$42 ,26%,1,$162 
Technology,Chesapeake,United States,Neil Ducich,AT&T,07-02-2011,CA-2011-131905,23320,AT&T CL82213,South,Corporate,10-02-2011,First Class,Virginia,Phones,0%,1,$42 ,29%,5,$145 
Office Supplies,Romeoville,United States,Delfina Latchford,Avery,07-02-2011,CA-2011-108182,60441,"Avery Flip-Chart Easel Binder, Black",Central,Consumer,11-02-2011,Second Class,Illinois,Binders,80%,1,($15),-165%,2,$9 
Office Supplies,New York City,United States,Chris Selesnick,Acco,08-02-2011,US-2011-169390,10024,Acco Perma 4000 Stacking Storage Drawers,East,Corporate,11-02-2011,Second Class,New York,Storage,0%,1,$10 ,15%,4,$65 
Technology,Linden,United States,Cyma Kinney,Maxell,08-02-2011,CA-2011-107755,7036,Maxell DVD-RAM Discs,East,Corporate,13-02-2011,Standard Class,New Jersey,Accessories,0%,1,$50 ,43%,7,$115 
Furniture,North Las Vegas,United States,Nathan Mautz,Master Caster,09-02-2011,CA-2011-125759,89031,"Master Caster Door Stop, Large Brown",West,Home Office,10-02-2011,First Class,Nevada,Furnishings,0%,1,$6 ,38%,2,$15 
Furniture,Columbia,United States,Guy Armstrong,Global,12-02-2011,CA-2011-168368,65203,"Global Value Mid-Back Manager's Chair, Gray",Central,Consumer,16-02-2011,Second Class,Missouri,Chairs,0%,1,$15 ,25%,1,$61 
Furniture,Columbia,United States,Guy Armstrong,Other,12-02-2011,CA-2011-168368,65203,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Central,Consumer,16-02-2011,Second Class,Missouri,Furnishings,0%,1,$53 ,16%,3,$333 
Furniture,Chesapeake,United States,Natalie Fritzler,Hon,12-02-2011,CA-2011-127614,23320,Hon 2111 Invitation Series Corner Table,South,Consumer,16-02-2011,Standard Class,Virginia,Tables,0%,1,$75 ,6%,6,"$1,256 "
Office Supplies,Columbia,United States,Guy Armstrong,Other,12-02-2011,CA-2011-168368,65203,VariCap6 Expandable Binder,Central,Consumer,16-02-2011,Second Class,Missouri,Binders,0%,1,$24 ,47%,3,$52 
Office Supplies,Columbia,United States,Guy Armstrong,Wilson Jones,12-02-2011,CA-2011-168368,65203,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Central,Consumer,16-02-2011,Second Class,Missouri,Binders,0%,1,$4 ,46%,2,$10 
Office Supplies,Columbia,United States,Guy Armstrong,Avery,12-02-2011,CA-2011-168368,65203,Avery 483,Central,Consumer,16-02-2011,Second Class,Missouri,Labels,0%,1,$7 ,46%,3,$15 
Office Supplies,Columbia,United States,Guy Armstrong,Fellowes,12-02-2011,CA-2011-168368,65203,Fellowes Neat Ideas Storage Cubes,Central,Consumer,16-02-2011,Second Class,Missouri,Storage,0%,1,$3 ,4%,2,$65 
Office Supplies,Chesapeake,United States,Natalie Fritzler,Wilson Jones,12-02-2011,CA-2011-127614,23320,Wilson Jones Leather-Like Binders with DublLock Round Rings,South,Consumer,16-02-2011,Standard Class,Virginia,Binders,0%,1,$8 ,47%,2,$17 
Technology,Chesapeake,United States,Natalie Fritzler,Enermax,12-02-2011,CA-2011-127614,23320,Enermax Aurora Lite Keyboard,South,Consumer,16-02-2011,Standard Class,Virginia,Accessories,0%,1,$103 ,44%,3,$234 
Furniture,Concord,United States,Sanjit Chand,Global,13-02-2011,US-2011-110674,94521,"Global Geo Office Task Chair, Gray",West,Consumer,19-02-2011,Standard Class,California,Chairs,20%,1,($24),-19%,2,$130 
Office Supplies,Seattle,United States,Marina Lichtenstein,Belkin,15-02-2011,CA-2011-121762,98103,Belkin 8 Outlet Surge Protector,West,Corporate,19-02-2011,Standard Class,Washington,Appliances,0%,1,$23 ,28%,2,$82 
Office Supplies,Seattle,United States,Marina Lichtenstein,Other,15-02-2011,CA-2011-121762,98103,Compact Automatic Electric Letter Opener,West,Corporate,19-02-2011,Standard Class,Washington,Supplies,0%,1,$5 ,2%,2,$239 
Technology,Seattle,United States,Marina Lichtenstein,Logitech,15-02-2011,CA-2011-121762,98103,Logitech G600 MMO Gaming Mouse,West,Corporate,19-02-2011,Standard Class,Washington,Accessories,0%,1,$86 ,36%,3,$240 
Office Supplies,Houston,United States,Shui Tom,Other,15-02-2011,CA-2011-107706,77095,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",Central,Consumer,20-02-2011,Second Class,Texas,Paper,20%,1,$6 ,38%,3,$16 
Office Supplies,Seattle,United States,Barry Französisch,Pressboard,16-02-2011,CA-2011-165568,98105,Pressboard Data Binders by Wilson Jones,West,Corporate,20-02-2011,Standard Class,Washington,Binders,20%,1,$7 ,34%,5,$21 
Office Supplies,Dallas,United States,Michael Nguyen,Holmes,17-02-2011,CA-2011-122567,75220,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",Central,Consumer,22-02-2011,Standard Class,Texas,Appliances,80%,1,($14),-175%,2,$8 
Office Supplies,Dallas,United States,Michael Nguyen,Wilson Jones,17-02-2011,CA-2011-122567,75220,Wilson Jones Easy Flow II Sheet Lifters,Central,Consumer,22-02-2011,Standard Class,Texas,Binders,80%,1,($2),-160%,3,$1 
Office Supplies,Chicago,United States,Delfina Latchford,Other,18-02-2011,CA-2011-154165,60653,Staples,Central,Consumer,25-02-2011,Standard Class,Illinois,Art,20%,1,$9 ,16%,14,$54 
Furniture,Lubbock,United States,Troy Blackwell,DAX,19-02-2011,US-2011-165589,79424,"DAX Copper Panel Document Frame, 5 x 7 Size",Central,Consumer,19-02-2011,Same Day,Texas,Furnishings,60%,1,($11),-45%,5,$25 
Office Supplies,Arlington,United States,Aaron Bergman,Akro,19-02-2011,CA-2011-152905,76017,Akro Stacking Bins,Central,Consumer,25-02-2011,Standard Class,Texas,Storage,20%,1,($3),-20%,2,$13 
Office Supplies,Los Angeles,United States,Steven Roelle,Xerox,21-02-2011,CA-2011-164903,90049,Xerox 204,West,Home Office,25-02-2011,Standard Class,California,Paper,0%,1,$6 ,48%,2,$13 
Furniture,Richmond,United States,Linda Cazamias,Master Caster,21-02-2011,CA-2011-109491,47374,"Master Caster Door Stop, Brown",Central,Corporate,27-02-2011,Standard Class,Indiana,Furnishings,0%,1,$7 ,34%,4,$20 
Technology,Richmond,United States,Linda Cazamias,Enermax,21-02-2011,CA-2011-109491,47374,Enermax Briskie RF Wireless Keyboard and Mouse Combo,Central,Corporate,27-02-2011,Standard Class,Indiana,Accessories,0%,1,$22 ,36%,3,$62 
